gameId,title,genres,platforms
3328,the-witcher-3-wild-hunt,adventure|action|role-playing-games-rpg,pc|xbox-one|playstation4|nintendo-switch
3498,grand-theft-auto-v,adventure|action,pc|playstation5|playstation4|xbox-one|xbox-series-x|xbox360|playstation3
5286,tomb-raider,adventure|action,pc|xbox-one|playstation4|macos|xbox360|playstation3
5679,the-elder-scrolls-v-skyrim,action|role-playing-games-rpg,pc|nintendo-switch|xbox360|playstation3
12020,left-4-dead-2,shooter|action,pc|xbox360
1030,limbo,adventure|action|puzzle|indie|platformer,pc|xbox-one|playstation4|nintendo-switch|ios|android|macos|linux|xbox360|playstation3|ps-vita
3272,rocket-league,racing|indie|action|sports,pc|xbox-one|playstation4|nintendo-switch|macos|linux
422,terraria,platformer|indie|action,pc|playstation4|xbox-one|nintendo-switch|ios|android|nintendo-3ds|macos|linux|xbox360|playstation3|ps-vita|wii-u
3612,hotline-miami,indie|shooter|arcade|action,pc|xbox-one|playstation4|nintendo-switch|linux|ps-vita
13668,amnesia-the-dark-descent,indie|adventure|action,pc|macos|linux
13536,portal,adventure|action|puzzle,pc|android|macos|linux|xbox360|playstation3
3439,life-is-strange-episode-1-2,adventure,pc|playstation4|xbox-one|ios|android|macos|linux|xbox360|playstation3
28,red-dead-redemption-2,adventure|action,pc|xbox-one|playstation4
4459,grand-theft-auto-iv,adventure|action,pc|xbox-one|xbox360|playstation3
58175,god-of-war-2,adventure|action,playstation4
802,borderlands-2,shooter|action|role-playing-games-rpg,pc|xbox-one|playstation4|macos|xbox360|playstation3
3070,fallout-4,action|role-playing-games-rpg,pc|xbox-one|playstation4
278,horizon-zero-dawn,adventure|action|role-playing-games-rpg,pc|playstation4
16944,the-witcher-2-assassins-of-kings-enhanced-edition,role-playing-games-rpg,pc|xbox360
11973,shadow-of-mordor,action|role-playing-games-rpg,pc|playstation4|xbox-one|macos|linux|xbox360|playstation3
13633,civilization-v,strategy,pc|macos|linux
13910,xcom-enemy-unknown,strategy,pc|ios|android|macos|xbox360|playstation3
5525,brutal-legend,strategy|action,pc|xbox-one|ios|macos|linux|xbox360|playstation3
10243,company-of-heroes-2,strategy|simulation,pc|macos|linux
10065,cities-skylines,strategy|simulation,pc|xbox-one|playstation4|nintendo-switch|macos|linux
4200,portal-2,shooter|puzzle,pc|xbox-one|macos|linux|xbox360|playstation3
4062,bioshock-infinite,shooter|action,pc|xbox-one|playstation4|nintendo-switch|linux|xbox360|playstation3
4291,counter-strike-global-offensive,shooter|action,pc|xbox360|playstation3
4286,bioshock,shooter|action,pc|playstation4|xbox-one|ios|macos|xbox360|playstation3
13537,half-life-2,shooter|action,pc|android|macos|linux|xbox360|xbox-old
9721,garrys-mod,adventure|action|casual|simulation|indie,pc|macos|linux
326292,fall-guys,action|casual|sports|indie|massively-multiplayer,pc|xbox-one|playstation4|xbox-series-x|nintendo-switch
9830,brawlhalla,casual|indie|action|fighting,pc|xbox-one|playstation4|nintendo-switch|ios|macos
1959,goat-simulator,casual|indie|action|simulation,pc|playstation4|xbox-one|ios|android|macos|linux|xbox360|playstation3
16343,a-story-about-my-uncle,adventure|casual|arcade|indie|platformer,pc|macos|linux
654,stardew-valley,indie|role-playing-games-rpg|simulation,pc|xbox-one|playstation4|nintendo-switch|ios|android|macos|linux|ps-vita
9882,dont-starve-together,indie|action|simulation,pc|xbox-one|playstation4|macos|linux
2819,firewatch,indie|adventure|simulation,pc|xbox-one|playstation4|nintendo-switch|macos|linux
10340,crusader-kings-ii,strategy|simulation,pc|macos|linux
11435,viscera-cleanup-detail-shadow-warrior,indie|action|simulation,pc|macos
18240,brothers-a-tale-of-two-sons-2,indie|adventure|puzzle,pc|playstation4|xbox-one|nintendo-switch|ios|android|xbox360|playstation3
3853,trine-2-complete-story,platformer|indie|action|puzzle,pc|playstation4|nintendo-switch|macos|linux
3740,fez,adventure|action|puzzle|indie|platformer,pc|playstation4|ios|macos|linux|xbox360|playstation3|ps-vita
1450,inside,adventure|action|puzzle|indie|platformer,pc|xbox-one|playstation4|nintendo-switch|ios
3474,lara-croft-and-the-temple-of-osiris,adventure|action|puzzle,pc|xbox-one|playstation4
17540,injustice-gods-among-us-ultimate-edition,arcade|action|fighting,pc|playstation4|xbox360|playstation3|ps-vita
2115,overcooked,casual|indie|arcade|simulation,pc|xbox-one|playstation4|nintendo-switch
5161,braid,action|puzzle|arcade|indie|platformer,pc|xbox-one|ios|macos|linux|xbox360|playstation3
3408,hotline-miami-2-wrong-number,indie|shooter|arcade|action,pc|playstation4|nintendo-switch|ios|android|macos|linux|playstation3|ps-vita
22509,minecraft,action|arcade|simulation|indie|massively-multiplayer,pc|xbox-one|playstation4|nintendo-switch|ios|android|nintendo-3ds|macos|linux|xbox360|playstation3|ps-vita|wii-u
7689,rise-of-the-tomb-raider,platformer|action,pc|xbox-one|playstation4|macos
4252,mirrors-edge,platformer|action,pc|xbox360|playstation3
3144,super-meat-boy,platformer|indie|action,pc|playstation4|nintendo-switch|android|macos|linux|xbox360|ps-vita|wii-u|web
9767,hollow-knight,platformer|indie|action,pc|xbox-one|playstation4|nintendo-switch|macos|linux
28179,sega-mega-drive-and-genesis-classics,adventure|action|role-playing-games-rpg|fighting|platformer,pc|xbox-one|playstation4|nintendo-switch|macos|linux
4003,grid-2,racing|sports,pc|macos|xbox360|playstation3
2572,dirt-rally,racing|simulation|sports,pc|xbox-one|playstation4|macos|linux
5578,grid,racing|action|casual|simulation|sports,pc|xbox-one|nintendo-ds|xbox360|playstation3
4347,dirt-showdown,racing|arcade|action,pc|xbox360|playstation3
19491,burnout-paradise-the-ultimate-box,racing|arcade,pc
53341,jet-set-radio-2012,platformer|action|sports,pc|ios|android|xbox360|playstation3|ps-vita|game-boy-advance|dreamcast
3251,f1-2015,racing|sports,pc|xbox-one|playstation4|linux
715,steep,action|simulation|sports,pc|xbox-one|playstation4
19633,need-for-speed-hot-pursuit-2,racing|action|sports,pc|nintendo-switch|ios|android|xbox360|playstation3|wii
11228,speedrunners,racing|action|casual|sports|indie,pc|xbox-one|playstation4|nintendo-switch|macos|linux
32,destiny-2,shooter|massively-multiplayer|action,pc|playstation5|xbox-one|playstation4|xbox-series-x|web
10213,dota-2,massively-multiplayer|action,pc|macos|linux
766,warframe,shooter|massively-multiplayer|action,pc|playstation5|xbox-one|playstation4|xbox-series-x|nintendo-switch
10533,path-of-exile,indie|massively-multiplayer|action|role-playing-games-rpg,pc|xbox-one|playstation4
362,for-honor,massively-multiplayer|action,pc|xbox-one|playstation4
108,mortal-kombat-x,action|fighting,pc|xbox-one|playstation4|ios|android
14990,viking,adventure|action|role-playing-games-rpg|fighting,pc|xbox360|playstation3
17599,mortal-kombat-komplete-edition,arcade|fighting,pc|xbox360|playstation3
44525,yakuza-kiwami,adventure|action|role-playing-games-rpg|fighting,pc|xbox-one|playstation4|playstation3
2805,street-fighter-v,action|fighting,pc|playstation4
3254,journey,family|indie|adventure,pc|playstation4|ios|playstation3
2597,lego-lord-of-the-rings,casual|platformer|family|action,pc|ios|android|nintendo-3ds|nintendo-ds|xbox360|playstation3|ps-vita|wii
3350,broken-age,adventure|puzzle|casual|family|indie,pc|xbox-one|playstation4|nintendo-switch|ios|android|macos|linux|ps-vita
3729,lego-the-hobbit,family|adventure|action,pc|playstation4|xbox-one|nintendo-3ds|macos|xbox360|playstation3|ps-vita|wii-u
1140,world-of-goo,educational|puzzle|strategy|indie|family,pc|nintendo-switch|ios|android|macos|linux|wii
327999,dota-underlords,casual|strategy|board-games,pc|ios|android|macos|linux
23557,gwent-the-witcher-card-game,card|strategy|board-games|role-playing-games-rpg,pc|xbox-one|playstation4|ios|android
2055,adventure-capitalist,casual|indie|board-games|simulation,pc|playstation4|ios|android|macos|linux
2306,poker-night-2,casual|card|board-games|sports,pc|ios|macos|xbox360|playstation3
3187,armello,adventure|role-playing-games-rpg|strategy|indie|board-games,pc|xbox-one|playstation4|nintendo-switch|ios|macos|linux
2778,surgeon-simulator-cpr,educational|indie|action|simulation,pc|nintendo-switch|ios|android|macos|linux
13777,sid-meiers-civilization-iv-colonization,strategy|educational|simulation,pc|ios|macos
2359,divide-by-sheep,educational|adventure|puzzle|casual|indie,pc|ios|macos
9768,gameguru,educational,pc
6885,pirates-3,educational|adventure|action|role-playing-games-rpg|fighting|strategy|arcade|simulation,pc|xbox-one|macos|xbox360|xbox-old|wii
28121,slay-the-spire,card|strategy|indie|role-playing-games-rpg,pc|xbox-one|playstation4|nintendo-switch|ios|android|macos|linux
18852,poker-night-at-the-inventory,casual|card|sports,pc|macos
8923,faeria,card|strategy|massively-multiplayer|indie,pc|xbox-one|playstation4|nintendo-switch|ios|macos|linux
533,magic-duels,card|strategy,pc|xbox-one|ios
332,the-elder-scrolls-legends,card|strategy,pc|nintendo-switch|ios|android|macos
